"pais","anio","region","region_id","tramo","contribucion_po","contribucion_empleo","contribucion_vtas","contribucion_sal_neto","ent_nr","emp_nr","ventas_anuales_en_uf","sal_neto","poblacion","km_2","densidad_pobl","pib_regional","aporte_pib","pbi_per_capita","tasa_ocupacion","tasa_desempleo","tasa_informalidad","tasa_pobreza","anios_educacion_promedio","sin_educacion","basica_incompleta","basica_completa","media_incompleta","media_completa","superior_incompleta","superior_completa","renta_media_laboral_hogar","renta_media_autonoma_hogar","subsidios_promedio_hogar","renta_media_hogar","share_ing_trabajo","esperanza_vida","tasa_mortalidad_general","tasa_mortalidad_infantil","tasa_homicidios","tasa_denuncias_delitos_graves","ent_per_1000","tasa_empleo_pyme"
"Chile",2005,"Región Metropolitana",7,"Pequeña",0.164107074271783,0.185315742347383,0.0490107767049039,65362242.4348468,58964,996119,440388132.6,95185299.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Arica y Parinacota",1,"Micro",0.771486507565122,0.347417521838691,0.133132942443089,1017349.18589119,9892,20482,3715407.08,1181367.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Atacama",4,"Mediana",0.012452543659833,0.192117981662324,0.0721397575306429,1220332.70703784,164,19319,7735809.28,1356142.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región Metropolitana",7,"Mediana",0.0294654635933003,0.161686156912056,0.057717402701047,70453019.9108597,10587,869104,518621839.99,90793929.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Atacama",4,"Pequeña",0.121412300683371,0.32266950416675,0.103669526130145,1247018.27298928,1599,32447,11116861.35,1575848.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Valparaíso",6,"Sin Ventas/Sin Información",0.169189699872567,0.103990759400981,0,11773055.6657078,15401,64191,0,12649047.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región del Libertador General Bernardo O'Higgins",8,"Sin Ventas/Sin Información",0.142347107438017,0.0381113284179146,0,1432938.1438348,6459,12452,0,1625205.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región Metropolitana",7,"Micro",0.615354214560453,0.0723882206102671,0.0134749462354073,25433450.7739971,221098,389105,121079623.88,34192779.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Coquimbo",5,"Grande",0.00350801612456534,0.206978738172279,0.463096988396356,3655863.93425908,114,40555,45888166.01,3971093.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Aysén del General Carlos Ibáñez del Campo",15,"Pequeña",0.11219512195122,0.324576347171165,NA,NA,667,10860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
