anio,departamento,tramo,contribucion_po,contribucion_vtas,n_empresas,n_muertes,n_nace,tm,tn,ts1
2021,Rocha,Medianas,17.5604305,29.8881264,53,2,2,3.7735849,3.7735849,96.2264151
2021,Rocha,Grandes,17.3503799,31.6312065,3,NA,NA,NA,NA,NA
2021,Salto,Micro,26.2920513,10.649826,4361,683,1007,15.6615455,23.0910342,84.3384545
2021,Salto,Pequeñas,23.502634,15.8951874,514,26,20,5.0583658,3.8910506,94.9416342
2021,Salto,Medianas,24.6872005,26.4167576,128,2,4,1.5625,3.125,98.4375
2021,Salto,Grandes,25.5181198,47.0382309,14,NA,NA,NA,NA,NA
2021,San José,Micro,30.2486248,9.3319283,4854,703,918,14.4829007,18.9122373,85.5170993
2021,San José,Pequeñas,24.5159283,14.9815722,524,14,18,2.6717557,3.4351145,97.3282443
2021,San José,Medianas,20.7599392,26.972971,100,3,1,3,1,97
2021,San José,Grandes,24.4755077,48.7135315,14,NA,NA,NA,NA,NA
2021,Soriano,Micro,31.9277992,7.4510002,3723,495,674,13.2957293,18.1036798,86.7042707
2021,Soriano,Pequeñas,29.1224594,13.2383242,451,14,13,3.1042129,2.8824834,96.8957871
2021,Soriano,Medianas,18.5585175,20.5854797,74,1,1,1.3513514,1.3513514,98.6486486
2021,Soriano,Grandes,20.3912239,58.725193,10,NA,1,NA,NA,NA
2021,Tacuarembó,Micro,30.1369648,10.4315453,3817,561,735,14.6974063,19.2559602,85.3025937
2021,Tacuarembó,Pequeñas,24.1108952,14.5261011,398,17,17,4.2713568,4.2713568,95.7286432
2021,Tacuarembó,Medianas,17.9921494,21.7153797,63,2,2,3.1746032,3.1746032,96.8253968
2021,Tacuarembó,Grandes,27.7599888,53.3269768,6,NA,NA,NA,NA,NA
2021,Treinta y Tres,Micro,35.6005363,13.6089811,1965,291,366,14.8091603,18.6259542,85.1908397
2021,Treinta y Tres,Pequeñas,29.0400143,18.9195232,224,9,10,4.0178571,4.4642857,95.9821429
2021,Treinta y Tres,Medianas,16.8831978,35.5224953,26,NA,NA,NA,NA,100
2021,Treinta y Tres,Grandes,18.4762516,31.9489975,3,NA,NA,NA,NA,NA
2020,Artigas,Micro,38.2566528,20.8324203,2404,428,438,17.8036606,18.2196339,82.1963394
2020,Artigas,Pequeñas,29.2378731,23.7561092,280,2,2,0.7142857,0.7142857,99.2857143
2020,Artigas,Medianas,20.3220158,35.4363708,32,NA,NA,NA,NA,100
2020,Artigas,Grandes,12.1834583,19.9751015,2,NA,NA,NA,NA,NA
2020,Canelones,Micro,29.9614658,7.9421868,20566,3560,3948,17.3101235,19.1967325,82.6898765
2020,Canelones,Pequeñas,25.4364319,10.9466562,2637,69,57,2.6166098,2.1615472,97.3833902
2020,Canelones,Medianas,23.0374584,29.5453415,495,5,2,1.010101,0.4040404,98.989899
2020,Canelones,Grandes,21.5646458,51.565815,61,NA,1,NA,NA,NA
2020,Cerro Largo,Micro,30.4402809,14.1514626,2791,466,516,16.6965245,18.4879971,83.3034755
2020,Cerro Largo,Pequeñas,27.7783833,18.2091789,322,6,4,1.863354,1.242236,98.136646
2020,Cerro Largo,Medianas,17.2933731,26.8755779,47,1,NA,2.1276596,NA,97.8723404
2020,Cerro Largo,Grandes,24.4879646,40.7637825,6,NA,NA,NA,NA,NA
2020,Colonia,Micro,30.242939,9.0812407,7185,1233,1346,17.1607516,18.7334725,82.8392484
2020,Colonia,Pequeñas,26.0999889,13.1645212,940,15,8,1.5957447,0.8510638,98.4042553
2020,Colonia,Medianas,20.7463932,23.426218,157,NA,2,NA,1.2738854,100
2020,Colonia,Grandes,22.9106808,54.3280182,19,NA,NA,NA,NA,NA
2020,Durazno,Micro,30.9166393,7.1844549,2173,333,448,15.3244363,20.616659,84.6755637
2020,Durazno,Pequeñas,25.0689983,10.4810066,292,5,5,1.7123288,1.7123288,98.2876712
2020,Durazno,Medianas,18.4505634,14.5235443,40,NA,1,NA,2.5,100
2020,Durazno,Grandes,25.563797,67.810997,6,NA,NA,NA,NA,NA
2020,Flores,Micro,32.40802,11.029563,1129,186,196,16.4747564,17.360496,83.5252436
2020,Flores,Pequeñas,29.5992985,18.636507,153,NA,5,NA,3.2679739,100
2020,Flores,Medianas,17.7801342,21.721077,21,NA,NA,NA,NA,100
2020,Flores,Grandes,20.2125511,48.6128502,4,NA,NA,NA,NA,NA
2020,Florida,Micro,34.5424423,10.4206352,3001,515,560,17.1609464,18.6604465,82.8390536
2020,Florida,Pequeñas,30.124918,17.7202911,394,10,5,2.5380711,1.2690355,97.4619289
2020,Florida,Medianas,23.4419174,38.0813942,67,NA,NA,NA,NA,100
2020,Florida,Grandes,11.8907242,33.7776833,2,NA,NA,NA,NA,NA
2020,Lavalleja,Micro,33.2590599,15.0573282,2359,356,383,15.0911403,16.2356931,84.9088597
2020,Lavalleja,Pequeñas,27.9748936,19.6530018,312,6,2,1.9230769,0.6410256,98.0769231
2020,Lavalleja,Medianas,18.8285275,27.3987198,49,1,NA,2.0408163,NA,97.9591837
2020,Lavalleja,Grandes,19.9375172,37.8909492,6,NA,NA,NA,NA,NA
2020,Maldonado,Micro,27.7181721,11.8492165,11401,2260,2283,19.8228226,20.0245592,80.1771774
2020,Maldonado,Pequeñas,26.9973202,16.5344601,1571,43,25,2.7371101,1.5913431,97.2628899
2020,Maldonado,Medianas,23.844471,32.9273758,245,2,1,0.8163265,0.4081633,99.1836735
2020,Maldonado,Grandes,21.4400368,38.6889534,21,NA,NA,NA,NA,NA
2020,Montevideo,Micro,18.2501259,1.4727435,76414,13767,13201,18.0163321,17.2756301,81.9836679
2020,Montevideo,Pequeñas,18.8715229,2.9856491,11966,269,208,2.2480361,1.7382584,97.7519639
2020,Montevideo,Medianas,21.073698,9.5150537,2729,21,17,0.7695126,0.6229388,99.2304874
2020,Montevideo,Grandes,41.8046494,86.0265503,574,3,1,NA,NA,NA
2020,Paysandú,Micro,31.5351791,9.621973,5015,882,1024,17.5872383,20.4187438,82.4127617
2020,Paysandú,Pequeñas,28.283287,15.0907488,674,18,6,2.6706231,0.8902077,97.3293769
2020,Paysandú,Medianas,21.352972,23.9160995,108,NA,1,NA,0.9259259,100
2020,Paysandú,Grandes,18.828558,51.3711739,11,NA,1,NA,NA,NA
2020,Río Negro,Micro,32.6848907,5.666254,2599,465,587,17.8914967,22.5856098,82.1085033
2020,Río Negro,Pequeñas,26.8799629,8.4129944,316,6,8,1.8987342,2.5316456,98.1012658
2020,Río Negro,Medianas,21.8567619,21.8361263,49,2,NA,4.0816327,NA,95.9183673
2020,Río Negro,Grandes,18.5783882,64.0846252,9,NA,NA,NA,NA,NA
2020,Rivera,Micro,32.5679588,12.8979311,3387,622,707,18.3643342,20.8739297,81.6356658
2020,Rivera,Pequeñas,25.5977287,13.5943527,365,13,5,3.5616438,1.369863,96.4383562
2020,Rivera,Medianas,20.1072865,24.9204712,51,NA,NA,NA,NA,100
2020,Rivera,Grandes,21.7270241,48.5872459,5,NA,NA,NA,NA,NA
2020,Rocha,Micro,37.5908127,14.5369329,3914,802,810,20.4905468,20.6949412,79.5094532
2020,Rocha,Pequeñas,29.4653187,20.6250019,384,8,9,2.0833333,2.34375,97.9166667
2020,Rocha,Medianas,18.5405216,28.9817753,53,1,1,1.8867925,1.8867925,98.1132075
2020,Rocha,Grandes,14.4033432,35.8562927,3,NA,NA,NA,NA,NA
2020,Salto,Micro,26.7049255,11.3404522,4020,707,846,17.5870647,21.0447761,82.4129353
2020,Salto,Pequeñas,25.6140804,15.6684017,543,7,14,1.2891344,2.5782689,98.7108656
2020,Salto,Medianas,24.4311771,28.3029976,113,NA,1,NA,0.8849558,100
2020,Salto,Grandes,23.249815,44.6881447,13,NA,NA,NA,NA,NA
2020,San José,Micro,31.1992168,10.1787338,4656,761,805,16.3445017,17.2895189,83.6554983
