"pais","anio","region","region_id","tramo","contribucion_po","contribucion_vtas","ent_nr","ent_per_1000","n_muertes","n_nace","tm","tn","ts1","tasa_informalidad","tasa_pobreza","tasa_homicidios","tasa_desempleo","poblacion","km_2","densidad_poblacion","pib_regional","ingresos_promedio_per_capita","ingreso_medio_hogares","idh","gini","esperanza_vida_mujeres","esperanza_vida_hombres","aporte_pib","anios_educacion_promedio"
"Uruguay",2019,"Montevideo",1,"Micro",17.1390915,2.3523405,76113,56.4591411136284,14016,14894,18.4147255,19.5682735,81.5852745,17.48984895,12.2,15.7,8.8,1348107.64915493,530,2543.59933802817,NA,46185.4,97109.69,NA,0.392,NA,NA,NA,10.92440208
"Uruguay",2019,"Montevideo",1,"Pequeña",18.3828583,3.6804745,12944,9.60160711803248,443,437,3.4224351,3.3760816,96.5775649,17.48984895,12.2,15.7,8.8,1348107.64915493,530,2543.59933802817,NA,46185.4,97109.69,NA,0.392,NA,NA,NA,10.92440208
"Uruguay",2019,"Montevideo",1,"Mediana",21.8255424,10.5590897,3168,2.34996070379534,50,50,1.5782828,1.5782828,98.4217172,17.48984895,12.2,15.7,8.8,1348107.64915493,530,2543.59933802817,NA,46185.4,97109.69,NA,0.392,NA,NA,NA,10.92440208
"Uruguay",2019,"Montevideo",1,"Grandes",42.652504,83.4080963,660,0.489575146624029,4,4,NA,NA,NA,17.48984895,12.2,15.7,8.8,1348107.64915493,530,2543.59933802817,NA,46185.4,97109.69,NA,0.392,NA,NA,NA,10.92440208
"Uruguay",2020,"Montevideo",1,"Micro",18.2501259,1.4727435,76414,57.0504251475491,13767,13201,18.0163321,17.2756301,81.9836679,14.52749565,13.6,12.1,9.5,1339411.57848291,530,2527.19165751493,NA,43339.2,91235.0497,NA,0.3882831,NA,NA,NA,NA
"Uruguay",2020,"Montevideo",1,"Pequeña",18.8715229,2.9856491,11966,8.93377374977847,269,208,2.2480361,1.7382584,97.7519639,14.52749565,13.6,12.1,9.5,1339411.57848291,530,2527.19165751493,NA,43339.2,91235.0497,NA,0.3882831,NA,NA,NA,NA
"Uruguay",2020,"Montevideo",1,"Mediana",21.073698,9.5150537,2729,2.03746185551943,21,17,0.7695126,0.6229388,99.2304874,14.52749565,13.6,12.1,9.5,1339411.57848291,530,2527.19165751493,NA,43339.2,91235.0497,NA,0.3882831,NA,NA,NA,NA
"Uruguay",2020,"Montevideo",1,"Grandes",41.8046494,86.0265503,574,0.42854639247642,3,1,NA,NA,NA,14.52749565,13.6,12.1,9.5,1339411.57848291,530,2527.19165751493,NA,43339.2,91235.0497,NA,0.3882831,NA,NA,NA,NA
"Uruguay",2021,"Montevideo",1,"Micro",18.0045738,1.6682917,80569,60.6491694456561,13118,16837,16.2816964,20.8976157,83.7183036,14.58499354,12.9,12.2,9.4,1328443.58358762,530,2506.49732752381,NA,43514.9,93012.07985,NA,NA,NA,NA,NA,11.14458759
"Uruguay",2021,"Montevideo",1,"Pequeña",18.3449116,2.7787769,10890,8.19756302378328,338,389,3.1037649,3.5720845,96.8962351,14.58499354,12.9,12.2,9.4,1328443.58358762,530,2506.49732752381,NA,43514.9,93012.07985,NA,NA,NA,NA,NA,11.14458759
"Uruguay",2021,"Montevideo",1,"Mediana",20.6979008,8.3141785,2904,2.18601680634221,36,64,1.2396694,2.2038567,98.7603306,14.58499354,12.9,12.2,9.4,1328443.58358762,530,2506.49732752381,NA,43514.9,93012.07985,NA,NA,NA,NA,NA,11.14458759
"Uruguay",2021,"Montevideo",1,"Grandes",42.9526176,87.2387543,636,0.478755746843541,8,9,NA,NA,NA,14.58499354,12.9,12.2,9.4,1328443.58358762,530,2506.49732752381,NA,43514.9,93012.07985,NA,NA,NA,NA,NA,11.14458759
"Uruguay",2022,"Montevideo",1,"Micro",20.6452942,1.7978581,84276,64.0906649733531,14077,17840,16.7034506,21.1685415,83.2965494,12.90064223,12.8,15.6,8.4,1314949.68939766,530,2481.0371498069,NA,45492.9,95458.23657,NA,NA,NA,NA,NA,11.33822519
"Uruguay",2022,"Montevideo",1,"Pequeña",16.1552944,2.7596989,11079,8.42541740518984,163,166,1.4712519,1.4983302,98.5287481,12.90064223,12.8,15.6,8.4,1314949.68939766,530,2481.0371498069,NA,45492.9,95458.23657,NA,NA,NA,NA,NA,11.33822519
"Uruguay",2022,"Montevideo",1,"Mediana",20.1871586,8.2305765,3007,2.28677950513637,10,23,0.3325574,0.7648819,99.6674426,12.90064223,12.8,15.6,8.4,1314949.68939766,530,2481.0371498069,NA,45492.9,95458.23657,NA,NA,NA,NA,NA,11.33822519
"Uruguay",2022,"Montevideo",1,"Grandes",43.0122528,87.2118683,650,0.494315489969618,3,1,NA,NA,NA,12.90064223,12.8,15.6,8.4,1314949.68939766,530,2481.0371498069,NA,45492.9,95458.23657,NA,NA,NA,NA,NA,11.33822519
"Uruguay",2011,"Artigas",2,"Micro",35.593689,17.1827755,1644,21.6193743758767,254,311,15.4501217,18.9172749,84.5498783,42.28510093,22,NA,8.1,76042.9035279765,11928,6.37515958484042,8269.69369,21525.9,55757.78688,0.750594235,0.389,79.3,73.4,1.534504826,7.797796035
"Uruguay",2011,"Artigas",2,"Pequeña",35.058857,28.9010048,283,3.72158330193011,11,11,3.8869258,3.8869258,96.1130742,42.28510093,22,NA,8.1,76042.9035279765,11928,6.37515958484042,8269.69369,21525.9,55757.78688,0.750594235,0.389,79.3,73.4,1.534504826,7.797796035
"Uruguay",2011,"Artigas",2,"Mediana",17.0493431,47.4927711,32,0.420815073009766,1,NA,3.125,NA,96.875,42.28510093,22,NA,8.1,76042.9035279765,11928,6.37515958484042,8269.69369,21525.9,55757.78688,0.750594235,0.389,79.3,73.4,1.534504826,7.797796035
"Uruguay",2011,"Artigas",2,"Grandes",12.2981129,6.4234509,2,0.0263009420631103,NA,NA,NA,NA,NA,42.28510093,22,NA,8.1,76042.9035279765,11928,6.37515958484042,8269.69369,21525.9,55757.78688,0.750594235,0.389,79.3,73.4,1.534504826,7.797796035
"Uruguay",2012,"Artigas",2,"Micro",34.3155899,17.9395256,1666,21.941590908924,225,299,13.5054022,17.9471789,86.4945978,42.02126039,16,NA,6.7,75928.8607154921,11928,6.36559865153354,8469.159116,22808.2,57811.42415,0.756168316,0.364,79.4,73.5,1.473665801,8.1020198
"Uruguay",2012,"Artigas",2,"Pequeña",31.9798908,28.9557323,308,4.05642857139772,14,13,4.5454545,4.2207792,95.4545455,42.02126039,16,NA,6.7,75928.8607154921,11928,6.36559865153354,8469.159116,22808.2,57811.42415,0.756168316,0.364,79.4,73.5,1.473665801,8.1020198
"Uruguay",2012,"Artigas",2,"Mediana",15.9237108,47.440033,32,0.421447124301062,1,NA,3.125,NA,96.875,42.02126039,16,NA,6.7,75928.8607154921,11928,6.36559865153354,8469.159116,22808.2,57811.42415,0.756168316,0.364,79.4,73.5,1.473665801,8.1020198
"Uruguay",2012,"Artigas",2,"Grandes",17.7808094,5.6647067,3,0.0395106679032246,NA,NA,NA,NA,NA,42.02126039,16,NA,6.7,75928.8607154921,11928,6.36559865153354,8469.159116,22808.2,57811.42415,0.756168316,0.364,79.4,73.5,1.473665801,8.1020198
"Uruguay",2013,"Artigas",2,"Micro",32.537632,20.3498116,1808,23.7414412014729,279,370,15.4314159,20.4646018,84.5685841,39.85536737,18.3,NA,7,76153.7593550905,11928,6.38445333292174,8805.18540237405,22576.2,56405.07642,0.759951058,0.368,79.6,73.7,1.469972383,8.121079902
"Uruguay",2013,"Artigas",2,"Pequeña",30.7167664,27.9360924,285,3.74242850797554,18,18,6.3157895,6.3157895,93.6842105,39.85536737,18.3,NA,7,76153.7593550905,11928,6.38445333292174,8805.18540237405,22576.2,56405.07642,0.759951058,0.368,79.6,73.7,1.469972383,8.121079902
"Uruguay",2013,"Artigas",2,"Mediana",17.6036243,41.1039276,67,0.879798982576707,3,NA,4.4776119,NA,95.5223881,39.85536737,18.3,NA,7,76153.7593550905,11928,6.38445333292174,8805.18540237405,22576.2,56405.07642,0.759951058,0.368,79.6,73.7,1.469972383,8.121079902
"Uruguay",2013,"Artigas",2,"Grandes",19.1419754,10.6101637,3,0.0393939842944794,NA,NA,NA,NA,NA,39.85536737,18.3,NA,7,76153.7593550905,11928,6.38445333292174,8805.18540237405,22576.2,56405.07642,0.759951058,0.368,79.6,73.7,1.469972383,8.121079902
"Uruguay",2014,"Artigas",2,"Micro",33.0925484,19.7440376,1928,25.2472934721392,365,389,18.9315353,20.1763485,81.0684647,42.4637727,12.1,NA,6.7,76364.6211079054,11928,6.4021312129364,9107.40764627852,25427.1,62513.98185,0.762150609,0.357,79.7,73.9,1.477165024,8.157147037
"Uruguay",2014,"Artigas",2,"Pequeña",30.3902321,28.1415367,302,3.95471090694296,9,16,2.9801325,5.2980132,97.0198675,42.4637727,12.1,NA,6.7,76364.6211079054,11928,6.4021312129364,9107.40764627852,25427.1,62513.98185,0.762150609,0.357,79.7,73.9,1.477165024,8.157147037
"Uruguay",2014,"Artigas",2,"Mediana",18.9723091,40.3506927,46,0.602373184501246,1,1,2.173913,2.173913,97.826087,42.4637727,12.1,NA,6.7,76364.6211079054,11928,6.4021312129364,9107.40764627852,25427.1,62513.98185,0.762150609,0.357,79.7,73.9,1.477165024,8.157147037
"Uruguay",2014,"Artigas",2,"Grandes",17.5449123,11.763732,3,0.0392852076848638,NA,NA,NA,NA,NA,42.4637727,12.1,NA,6.7,76364.6211079054,11928,6.4021312129364,9107.40764627852,25427.1,62513.98185,0.762150609,0.357,79.7,73.9,1.477165024,8.157147037
"Uruguay",2015,"Artigas",2,"Micro",33.0379066,21.1293201,2021,26.3870745633672,323,385,15.982187,19.0499753,84.017813,44.19178247,10.4,NA,7.7,76590.5290162679,11928,6.4210705077354,NA,25726.7,63866.42086,0.765494536,0.371,79.9,74,NA,8.168293827
"Uruguay",2015,"Artigas",2,"Pequeña",28.9205093,27.9112911,250,3.26411115331113,15,13,6,5.2,94,44.19178247,10.4,NA,7.7,76590.5290162679,11928,6.4210705077354,NA,25726.7,63866.42086,0.765494536,0.371,79.9,74,NA,8.168293827
"Uruguay",2015,"Artigas",2,"Mediana",20.4920235,38.9709091,40,0.522257784529781,1,2,2.5,5,97.5,44.19178247,10.4,NA,7.7,76590.5290162679,11928,6.4210705077354,NA,25726.7,63866.42086,0.765494536,0.371,79.9,74,NA,8.168293827
"Uruguay",2015,"Artigas",2,"Grandes",17.5495605,11.9884825,3,0.0391693338397336,NA,NA,NA,NA,NA,44.19178247,10.4,NA,7.7,76590.5290162679,11928,6.4210705077354,NA,25726.7,63866.42086,0.765494536,0.371,79.9,74,NA,8.168293827
"Uruguay",2016,"Artigas",2,"Micro",36.0671196,21.4271698,2032,26.4345862183582,356,399,17.519685,19.6358268,82.480315,45.51537809,14.1,NA,7.3,76868.9921308027,11928,6.44441583926918,NA,24839.5,60305.95597,0.768222461,0.362,80,74.2,NA,8.04772641
"Uruguay",2016,"Artigas",2,"Pequeña",30.5570545,27.6750317,301,3.91575317506191,10,14,3.3222591,4.6511628,96.6777409,45.51537809,14.1,NA,7.3,76868.9921308027,11928,6.44441583926918,NA,24839.5,60305.95597,0.768222461,0.362,80,74.2,NA,8.04772641
"Uruguay",2016,"Artigas",2,"Mediana",21.5248585,37.5099411,44,0.572402457484133,NA,NA,NA,NA,100,45.51537809,14.1,NA,7.3,76868.9921308027,11928,6.44441583926918,NA,24839.5,60305.95597,0.768222461,0.362,80,74.2,NA,8.04772641
"Uruguay",2016,"Artigas",2,"Grandes",11.8509693,13.3878603,1,0.013009146761003,NA,NA,NA,NA,NA,45.51537809,14.1,NA,7.3,76868.9921308027,11928,6.44441583926918,NA,24839.5,60305.95597,0.768222461,0.362,80,74.2,NA,8.04772641
