Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;País Vasco;;;Índice de Gini;2015;..
Total Nacional;Rioja, La;;;Índice de Gini;2023;29,7
Total Nacional;Rioja, La;;;Índice de Gini;2022;29,8
Total Nacional;Rioja, La;;;Índice de Gini;2021;29,9
Total Nacional;Rioja, La;;;Índice de Gini;2020;30,7
Total Nacional;Rioja, La;;;Índice de Gini;2019;30,9
Total Nacional;Rioja, La;;;Índice de Gini;2018;31,4
Total Nacional;Rioja, La;;;Índice de Gini;2017;32,0
Total Nacional;Rioja, La;;;Índice de Gini;2016;32,8
Total Nacional;Rioja, La;;;Índice de Gini;2015;32,9
Total Nacional;Ceuta;;;Índice de Gini;2023;39,9
Total Nacional;Ceuta;;;Índice de Gini;2022;40,6
Total Nacional;Ceuta;;;Índice de Gini;2021;40,5
Total Nacional;Ceuta;;;Índice de Gini;2020;42,3
Total Nacional;Ceuta;;;Índice de Gini;2019;42,4
Total Nacional;Ceuta;;;Índice de Gini;2018;42,9
Total Nacional;Ceuta;;;Índice de Gini;2017;43,3
Total Nacional;Ceuta;;;Índice de Gini;2016;43,6
Total Nacional;Ceuta;;;Índice de Gini;2015;43,2
Total Nacional;Melilla;;;Índice de Gini;2023;39,6
Total Nacional;Melilla;;;Índice de Gini;2022;39,9
Total Nacional;Melilla;;;Índice de Gini;2021;40,3
Total Nacional;Melilla;;;Índice de Gini;2020;42,4
Total Nacional;Melilla;;;Índice de Gini;2019;42,5
Total Nacional;Melilla;;;Índice de Gini;2018;43,3
Total Nacional;Melilla;;;Índice de Gini;2017;44,1
Total Nacional;Melilla;;;Índice de Gini;2016;44,6
Total Nacional;Melilla;;;Índice de Gini;2015;44,8
