Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
08018 Balsareny;;;Renta neta media por hogar;2017;32.231
08018 Balsareny;;;Renta neta media por hogar;2016;31.557
08018 Balsareny;;;Renta neta media por hogar;2015;30.387
08019 Barcelona;;;Renta neta media por hogar;2023;47.361
08019 Barcelona;;;Renta neta media por hogar;2022;43.991
08019 Barcelona;;;Renta neta media por hogar;2021;41.454
08019 Barcelona;;;Renta neta media por hogar;2020;40.424
08019 Barcelona;;;Renta neta media por hogar;2019;41.046
08019 Barcelona;;;Renta neta media por hogar;2018;39.558
08019 Barcelona;;;Renta neta media por hogar;2017;37.881
08019 Barcelona;;;Renta neta media por hogar;2016;37.371
08019 Barcelona;;;Renta neta media por hogar;2015;36.477
08020 Begues;;;Renta neta media por hogar;2023;63.381
08020 Begues;;;Renta neta media por hogar;2022;59.150
08020 Begues;;;Renta neta media por hogar;2021;55.251
08020 Begues;;;Renta neta media por hogar;2020;53.813
08020 Begues;;;Renta neta media por hogar;2019;54.954
08020 Begues;;;Renta neta media por hogar;2018;51.031
08020 Begues;;;Renta neta media por hogar;2017;47.732
08020 Begues;;;Renta neta media por hogar;2016;47.280
08020 Begues;;;Renta neta media por hogar;2015;45.183
08021 Bellprat;;;Renta neta media por hogar;2023;.
08021 Bellprat;;;Renta neta media por hogar;2022;.
08021 Bellprat;;;Renta neta media por hogar;2021;37.098
08021 Bellprat;;;Renta neta media por hogar;2020;35.486
08021 Bellprat;;;Renta neta media por hogar;2019;.
08021 Bellprat;;;Renta neta media por hogar;2018;.
08021 Bellprat;;;Renta neta media por hogar;2017;.
08021 Bellprat;;;Renta neta media por hogar;2016;.
08021 Bellprat;;;Renta neta media por hogar;2015;.
08022 Berga;;;Renta neta media por hogar;2023;37.173
08022 Berga;;;Renta neta media por hogar;2022;35.176
08022 Berga;;;Renta neta media por hogar;2021;33.782
08022 Berga;;;Renta neta media por hogar;2020;32.773
08022 Berga;;;Renta neta media por hogar;2019;32.881
08022 Berga;;;Renta neta media por hogar;2018;31.717
08022 Berga;;;Renta neta media por hogar;2017;30.611
08022 Berga;;;Renta neta media por hogar;2016;29.869
08022 Berga;;;Renta neta media por hogar;2015;29.331
08023 Bigues i Riells del Fai;;;Renta neta media por hogar;2023;47.951
08023 Bigues i Riells del Fai;;;Renta neta media por hogar;2022;45.804
08023 Bigues i Riells del Fai;;;Renta neta media por hogar;2021;43.299
08023 Bigues i Riells del Fai;;;Renta neta media por hogar;2020;40.989
08023 Bigues i Riells del Fai;;;Renta neta media por hogar;2019;41.097
08023 Bigues i Riells del Fai;;;Renta neta media por hogar;2018;39.352
08023 Bigues i Riells del Fai;;;Renta neta media por hogar;2017;37.739
08023 Bigues i Riells del Fai;;;Renta neta media por hogar;2016;36.735
08023 Bigues i Riells del Fai;;;Renta neta media por hogar;2015;35.621
08024 Borredà;;;Renta neta media por hogar;2023;35.622
08024 Borredà;;;Renta neta media por hogar;2022;33.643
08024 Borredà;;;Renta neta media por hogar;2021;32.419
08024 Borredà;;;Renta neta media por hogar;2020;30.096
08024 Borredà;;;Renta neta media por hogar;2019;29.212
08024 Borredà;;;Renta neta media por hogar;2018;27.808
08024 Borredà;;;Renta neta media por hogar;2017;26.495
08024 Borredà;;;Renta neta media por hogar;2016;26.970
08024 Borredà;;;Renta neta media por hogar;2015;26.827
08025 Bruc, El;;;Renta neta media por hogar;2023;44.021
08025 Bruc, El;;;Renta neta media por hogar;2022;42.349
08025 Bruc, El;;;Renta neta media por hogar;2021;40.669
08025 Bruc, El;;;Renta neta media por hogar;2020;38.934
08025 Bruc, El;;;Renta neta media por hogar;2019;39.743
08025 Bruc, El;;;Renta neta media por hogar;2018;39.115
08025 Bruc, El;;;Renta neta media por hogar;2017;37.220
08025 Bruc, El;;;Renta neta media por hogar;2016;34.864
08025 Bruc, El;;;Renta neta media por hogar;2015;34.134
08026 Brull, El;;;Renta neta media por hogar;2023;64.803
08026 Brull, El;;;Renta neta media por hogar;2022;77.043
08026 Brull, El;;;Renta neta media por hogar;2021;61.439
08026 Brull, El;;;Renta neta media por hogar;2020;53.424
08026 Brull, El;;;Renta neta media por hogar;2019;51.913
08026 Brull, El;;;Renta neta media por hogar;2018;55.462
08026 Brull, El;;;Renta neta media por hogar;2017;49.528
08026 Brull, El;;;Renta neta media por hogar;2016;58.969
08026 Brull, El;;;Renta neta media por hogar;2015;48.809
08027 Cabanyes, Les;;;Renta neta media por hogar;2023;54.368
08027 Cabanyes, Les;;;Renta neta media por hogar;2022;52.149
08027 Cabanyes, Les;;;Renta neta media por hogar;2021;51.200
08027 Cabanyes, Les;;;Renta neta media por hogar;2020;48.296
08027 Cabanyes, Les;;;Renta neta media por hogar;2019;47.386
08027 Cabanyes, Les;;;Renta neta media por hogar;2018;45.857
08027 Cabanyes, Les;;;Renta neta media por hogar;2017;44.041
08027 Cabanyes, Les;;;Renta neta media por hogar;2016;42.091
08027 Cabanyes, Les;;;Renta neta media por hogar;2015;42.398
08028 Cabrera d'Anoia;;;Renta neta media por hogar;2023;34.333
08028 Cabrera d'Anoia;;;Renta neta media por hogar;2022;32.834
08028 Cabrera d'Anoia;;;Renta neta media por hogar;2021;31.623
08028 Cabrera d'Anoia;;;Renta neta media por hogar;2020;29.243
08028 Cabrera d'Anoia;;;Renta neta media por hogar;2019;28.610
08028 Cabrera d'Anoia;;;Renta neta media por hogar;2018;27.825
08028 Cabrera d'Anoia;;;Renta neta media por hogar;2017;27.488
08028 Cabrera d'Anoia;;;Renta neta media por hogar;2016;27.547
08028 Cabrera d'Anoia;;;Renta neta media por hogar;2015;25.974
08029 Cabrera de Mar;;;Renta neta media por hogar;2023;64.127
08029 Cabrera de Mar;;;Renta neta media por hogar;2022;58.687
08029 Cabrera de Mar;;;Renta neta media por hogar;2021;56.363
08029 Cabrera de Mar;;;Renta neta media por hogar;2020;54.915
