Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Castilla y León;Salamanca;;Distribución de la renta P80/P20;2015;2,7
Total Nacional;Castilla y León;Segovia;;Índice de Gini;2023;29,5
Total Nacional;Castilla y León;Segovia;;Índice de Gini;2022;29,5
Total Nacional;Castilla y León;Segovia;;Índice de Gini;2021;29,4
Total Nacional;Castilla y León;Segovia;;Índice de Gini;2020;30,2
Total Nacional;Castilla y León;Segovia;;Índice de Gini;2019;29,9
Total Nacional;Castilla y León;Segovia;;Índice de Gini;2018;30,3
Total Nacional;Castilla y León;Segovia;;Índice de Gini;2017;30,9
Total Nacional;Castilla y León;Segovia;;Índice de Gini;2016;32
Total Nacional;Castilla y León;Segovia;;Índice de Gini;2015;32
Total Nacional;Castilla y León;Segovia;;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Castilla y León;Segovia;;Distribución de la renta P80/P20;2022;2,6
Total Nacional;Castilla y León;Segovia;;Distribución de la renta P80/P20;2021;2,4
Total Nacional;Castilla y León;Segovia;;Distribución de la renta P80/P20;2020;2,5
Total Nacional;Castilla y León;Segovia;;Distribución de la renta P80/P20;2019;2,5
Total Nacional;Castilla y León;Segovia;;Distribución de la renta P80/P20;2018;2,6
Total Nacional;Castilla y León;Segovia;;Distribución de la renta P80/P20;2017;2,6
Total Nacional;Castilla y León;Segovia;;Distribución de la renta P80/P20;2016;2,6
Total Nacional;Castilla y León;Segovia;;Distribución de la renta P80/P20;2015;2,7
Total Nacional;Castilla y León;Soria;;Índice de Gini;2023;28,7
Total Nacional;Castilla y León;Soria;;Índice de Gini;2022;28,7
Total Nacional;Castilla y León;Soria;;Índice de Gini;2021;28,1
Total Nacional;Castilla y León;Soria;;Índice de Gini;2020;29
Total Nacional;Castilla y León;Soria;;Índice de Gini;2019;28,4
Total Nacional;Castilla y León;Soria;;Índice de Gini;2018;28,6
Total Nacional;Castilla y León;Soria;;Índice de Gini;2017;29,3
Total Nacional;Castilla y León;Soria;;Índice de Gini;2016;30,2
Total Nacional;Castilla y León;Soria;;Índice de Gini;2015;30,3
Total Nacional;Castilla y León;Soria;;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Castilla y León;Soria;;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Castilla y León;Soria;;Distribución de la renta P80/P20;2021;2,4
Total Nacional;Castilla y León;Soria;;Distribución de la renta P80/P20;2020;2,5
Total Nacional;Castilla y León;Soria;;Distribución de la renta P80/P20;2019;2,4
Total Nacional;Castilla y León;Soria;;Distribución de la renta P80/P20;2018;2,5
Total Nacional;Castilla y León;Soria;;Distribución de la renta P80/P20;2017;2,6
Total Nacional;Castilla y León;Soria;;Distribución de la renta P80/P20;2016;2,6
Total Nacional;Castilla y León;Soria;;Distribución de la renta P80/P20;2015;2,7
Total Nacional;Castilla y León;Valladolid;;Índice de Gini;2023;29,2
Total Nacional;Castilla y León;Valladolid;;Índice de Gini;2022;29,4
Total Nacional;Castilla y León;Valladolid;;Índice de Gini;2021;29,3
Total Nacional;Castilla y León;Valladolid;;Índice de Gini;2020;29,8
Total Nacional;Castilla y León;Valladolid;;Índice de Gini;2019;29,6
Total Nacional;Castilla y León;Valladolid;;Índice de Gini;2018;30,2
Total Nacional;Castilla y León;Valladolid;;Índice de Gini;2017;30,8
Total Nacional;Castilla y León;Valladolid;;Índice de Gini;2016;31,7
Total Nacional;Castilla y León;Valladolid;;Índice de Gini;2015;32
Total Nacional;Castilla y León;Valladolid;;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Castilla y León;Valladolid;;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Castilla y León;Valladolid;;Distribución de la renta P80/P20;2021;2,4
Total Nacional;Castilla y León;Valladolid;;Distribución de la renta P80/P20;2020;2,5
Total Nacional;Castilla y León;Valladolid;;Distribución de la renta P80/P20;2019;2,5
Total Nacional;Castilla y León;Valladolid;;Distribución de la renta P80/P20;2018;2,5
Total Nacional;Castilla y León;Valladolid;;Distribución de la renta P80/P20;2017;2,6
Total Nacional;Castilla y León;Valladolid;;Distribución de la renta P80/P20;2016;2,6
Total Nacional;Castilla y León;Valladolid;;Distribución de la renta P80/P20;2015;2,8
Total Nacional;Castilla y León;Zamora;;Índice de Gini;2023;29,2
Total Nacional;Castilla y León;Zamora;;Índice de Gini;2022;29,7
Total Nacional;Castilla y León;Zamora;;Índice de Gini;2021;29,3
Total Nacional;Castilla y León;Zamora;;Índice de Gini;2020;30,1
Total Nacional;Castilla y León;Zamora;;Índice de Gini;2019;30,1
Total Nacional;Castilla y León;Zamora;;Índice de Gini;2018;30,5
Total Nacional;Castilla y León;Zamora;;Índice de Gini;2017;31,3
Total Nacional;Castilla y León;Zamora;;Índice de Gini;2016;32,3
Total Nacional;Castilla y León;Zamora;;Índice de Gini;2015;32,4
Total Nacional;Castilla y León;Zamora;;Distribución de la renta P80/P20;2023;2,4
Total Nacional;Castilla y León;Zamora;;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Castilla y León;Zamora;;Distribución de la renta P80/P20;2021;2,5
Total Nacional;Castilla y León;Zamora;;Distribución de la renta P80/P20;2020;2,4
Total Nacional;Castilla y León;Zamora;;Distribución de la renta P80/P20;2019;2,4
Total Nacional;Castilla y León;Zamora;;Distribución de la renta P80/P20;2018;2,4
Total Nacional;Castilla y León;Zamora;;Distribución de la renta P80/P20;2017;2,6
Total Nacional;Castilla y León;Zamora;;Distribución de la renta P80/P20;2016;2,7
Total Nacional;Castilla y León;Zamora;;Distribución de la renta P80/P20;2015;2,7
Total Nacional;Castilla - La Mancha;;;Índice de Gini;2023;30,1
Total Nacional;Castilla - La Mancha;;;Índice de Gini;2022;30,4
Total Nacional;Castilla - La Mancha;;;Índice de Gini;2021;30,6
Total Nacional;Castilla - La Mancha;;;Índice de Gini;2020;31,2
Total Nacional;Castilla - La Mancha;;;Índice de Gini;2019;31,1
Total Nacional;Castilla - La Mancha;;;Índice de Gini;2018;31,7
Total Nacional;Castilla - La Mancha;;;Índice de Gini;2017;32,4
Total Nacional;Castilla - La Mancha;;;Índice de Gini;2016;33,6
Total Nacional;Castilla - La Mancha;;;Índice de Gini;2015;34,1
Total Nacional;Castilla - La Mancha;;;Distribución de la renta P80/P20;2023;2,6
Total Nacional;Castilla - La Mancha;;;Distribución de la renta P80/P20;2022;2,6
Total Nacional;Castilla - La Mancha;;;Distribución de la renta P80/P20;2021;2,5
Total Nacional;Castilla - La Mancha;;;Distribución de la renta P80/P20;2020;2,6
Total Nacional;Castilla - La Mancha;;;Distribución de la renta P80/P20;2019;2,6
Total Nacional;Castilla - La Mancha;;;Distribución de la renta P80/P20;2018;2,7
Total Nacional;Castilla - La Mancha;;;Distribución de la renta P80/P20;2017;2,8
Total Nacional;Castilla - La Mancha;;;Distribución de la renta P80/P20;2016;2,7
Total Nacional;Castilla - La Mancha;;;Distribución de la renta P80/P20;2015;3
Total Nacional;Castilla - La Mancha;Albacete;;Índice de Gini;2023;30,1
Total Nacional;Castilla - La Mancha;Albacete;;Índice de Gini;2022;30,5
Total Nacional;Castilla - La Mancha;Albacete;;Índice de Gini;2021;30,7
Total Nacional;Castilla - La Mancha;Albacete;;Índice de Gini;2020;31,2
Total Nacional;Castilla - La Mancha;Albacete;;Índice de Gini;2019;31,1
Total Nacional;Castilla - La Mancha;Albacete;;Índice de Gini;2018;31,9
Total Nacional;Castilla - La Mancha;Albacete;;Índice de Gini;2017;32,5
Total Nacional;Castilla - La Mancha;Albacete;;Índice de Gini;2016;33,3
Total Nacional;Castilla - La Mancha;Albacete;;Índice de Gini;2015;33,8
Total Nacional;Castilla - La Mancha;Albacete;;Distribución de la renta P80/P20;2023;2,4
Total Nacional;Castilla - La Mancha;Albacete;;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Castilla - La Mancha;Albacete;;Distribución de la renta P80/P20;2021;2,6
Total Nacional;Castilla - La Mancha;Albacete;;Distribución de la renta P80/P20;2020;2,6
Total Nacional;Castilla - La Mancha;Albacete;;Distribución de la renta P80/P20;2019;2,6
Total Nacional;Castilla - La Mancha;Albacete;;Distribución de la renta P80/P20;2018;2,7
Total Nacional;Castilla - La Mancha;Albacete;;Distribución de la renta P80/P20;2017;2,8
Total Nacional;Castilla - La Mancha;Albacete;;Distribución de la renta P80/P20;2016;2,7
Total Nacional;Castilla - La Mancha;Albacete;;Distribución de la renta P80/P20;2015;2,9
Total Nacional;Castilla - La Mancha;Ciudad Real;;Índice de Gini;2023;30,2
Total Nacional;Castilla - La Mancha;Ciudad Real;;Índice de Gini;2022;30,5
Total Nacional;Castilla - La Mancha;Ciudad Real;;Índice de Gini;2021;30,7
Total Nacional;Castilla - La Mancha;Ciudad Real;;Índice de Gini;2020;31,5
Total Nacional;Castilla - La Mancha;Ciudad Real;;Índice de Gini;2019;31,1
Total Nacional;Castilla - La Mancha;Ciudad Real;;Índice de Gini;2018;31,8
Total Nacional;Castilla - La Mancha;Ciudad Real;;Índice de Gini;2017;32,4
Total Nacional;Castilla - La Mancha;Ciudad Real;;Índice de Gini;2016;33,7
Total Nacional;Castilla - La Mancha;Ciudad Real;;Índice de Gini;2015;33,9
Total Nacional;Castilla - La Mancha;Ciudad Real;;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Castilla - La Mancha;Ciudad Real;;Distribución de la renta P80/P20;2022;2,6
Total Nacional;Castilla - La Mancha;Ciudad Real;;Distribución de la renta P80/P20;2021;2,6
Total Nacional;Castilla - La Mancha;Ciudad Real;;Distribución de la renta P80/P20;2020;2,7
Total Nacional;Castilla - La Mancha;Ciudad Real;;Distribución de la renta P80/P20;2019;2,7
Total Nacional;Castilla - La Mancha;Ciudad Real;;Distribución de la renta P80/P20;2018;2,6
Total Nacional;Castilla - La Mancha;Ciudad Real;;Distribución de la renta P80/P20;2017;2,7
Total Nacional;Castilla - La Mancha;Ciudad Real;;Distribución de la renta P80/P20;2016;2,9
Total Nacional;Castilla - La Mancha;Ciudad Real;;Distribución de la renta P80/P20;2015;2,8
Total Nacional;Castilla - La Mancha;Cuenca;;Índice de Gini;2023;30,1
Total Nacional;Castilla - La Mancha;Cuenca;;Índice de Gini;2022;30,2
Total Nacional;Castilla - La Mancha;Cuenca;;Índice de Gini;2021;30,2
Total Nacional;Castilla - La Mancha;Cuenca;;Índice de Gini;2020;30,5
Total Nacional;Castilla - La Mancha;Cuenca;;Índice de Gini;2019;30,6
Total Nacional;Castilla - La Mancha;Cuenca;;Índice de Gini;2018;31,1
Total Nacional;Castilla - La Mancha;Cuenca;;Índice de Gini;2017;31,9
Total Nacional;Castilla - La Mancha;Cuenca;;Índice de Gini;2016;33,5
Total Nacional;Castilla - La Mancha;Cuenca;;Índice de Gini;2015;33,1
Total Nacional;Castilla - La Mancha;Cuenca;;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Castilla - La Mancha;Cuenca;;Distribución de la renta P80/P20;2022;2,6
Total Nacional;Castilla - La Mancha;Cuenca;;Distribución de la renta P80/P20;2021;2,5
Total Nacional;Castilla - La Mancha;Cuenca;;Distribución de la renta P80/P20;2020;2,5
Total Nacional;Castilla - La Mancha;Cuenca;;Distribución de la renta P80/P20;2019;2,4
Total Nacional;Castilla - La Mancha;Cuenca;;Distribución de la renta P80/P20;2018;2,6
Total Nacional;Castilla - La Mancha;Cuenca;;Distribución de la renta P80/P20;2017;2,7
Total Nacional;Castilla - La Mancha;Cuenca;;Distribución de la renta P80/P20;2016;2,6
Total Nacional;Castilla - La Mancha;Cuenca;;Distribución de la renta P80/P20;2015;2,8
Total Nacional;Castilla - La Mancha;Guadalajara;;Índice de Gini;2023;28,9
Total Nacional;Castilla - La Mancha;Guadalajara;;Índice de Gini;2022;29,3
Total Nacional;Castilla - La Mancha;Guadalajara;;Índice de Gini;2021;29,5
Total Nacional;Castilla - La Mancha;Guadalajara;;Índice de Gini;2020;30,1
Total Nacional;Castilla - La Mancha;Guadalajara;;Índice de Gini;2019;30
Total Nacional;Castilla - La Mancha;Guadalajara;;Índice de Gini;2018;30,5
Total Nacional;Castilla - La Mancha;Guadalajara;;Índice de Gini;2017;31,3
Total Nacional;Castilla - La Mancha;Guadalajara;;Índice de Gini;2016;32,3
Total Nacional;Castilla - La Mancha;Guadalajara;;Índice de Gini;2015;32,7
Total Nacional;Castilla - La Mancha;Guadalajara;;Distribución de la renta P80/P20;2023;2,4
Total Nacional;Castilla - La Mancha;Guadalajara;;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Castilla - La Mancha;Guadalajara;;Distribución de la renta P80/P20;2021;2,5
Total Nacional;Castilla - La Mancha;Guadalajara;;Distribución de la renta P80/P20;2020;2,6
Total Nacional;Castilla - La Mancha;Guadalajara;;Distribución de la renta P80/P20;2019;2,5
Total Nacional;Castilla - La Mancha;Guadalajara;;Distribución de la renta P80/P20;2018;2,6
Total Nacional;Castilla - La Mancha;Guadalajara;;Distribución de la renta P80/P20;2017;2,8
Total Nacional;Castilla - La Mancha;Guadalajara;;Distribución de la renta P80/P20;2016;2,7
Total Nacional;Castilla - La Mancha;Guadalajara;;Distribución de la renta P80/P20;2015;2,9
Total Nacional;Castilla - La Mancha;Toledo;;Índice de Gini;2023;29,9
Total Nacional;Castilla - La Mancha;Toledo;;Índice de Gini;2022;30,3
Total Nacional;Castilla - La Mancha;Toledo;;Índice de Gini;2021;30,6
Total Nacional;Castilla - La Mancha;Toledo;;Índice de Gini;2020;31,2
Total Nacional;Castilla - La Mancha;Toledo;;Índice de Gini;2019;31,3
Total Nacional;Castilla - La Mancha;Toledo;;Índice de Gini;2018;31,7
Total Nacional;Castilla - La Mancha;Toledo;;Índice de Gini;2017;32,4
Total Nacional;Castilla - La Mancha;Toledo;;Índice de Gini;2016;33,7
Total Nacional;Castilla - La Mancha;Toledo;;Índice de Gini;2015;34,2
Total Nacional;Castilla - La Mancha;Toledo;;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Castilla - La Mancha;Toledo;;Distribución de la renta P80/P20;2022;2,6
Total Nacional;Castilla - La Mancha;Toledo;;Distribución de la renta P80/P20;2021;2,6
Total Nacional;Castilla - La Mancha;Toledo;;Distribución de la renta P80/P20;2020;2,7
Total Nacional;Castilla - La Mancha;Toledo;;Distribución de la renta P80/P20;2019;2,7
Total Nacional;Castilla - La Mancha;Toledo;;Distribución de la renta P80/P20;2018;2,7
Total Nacional;Castilla - La Mancha;Toledo;;Distribución de la renta P80/P20;2017;2,7
Total Nacional;Castilla - La Mancha;Toledo;;Distribución de la renta P80/P20;2016;3
Total Nacional;Castilla - La Mancha;Toledo;;Distribución de la renta P80/P20;2015;2,9
Total Nacional;Cataluña;;;Índice de Gini;2023;31,4
Total Nacional;Cataluña;;;Índice de Gini;2022;31,7
Total Nacional;Cataluña;;;Índice de Gini;2021;31,9
Total Nacional;Cataluña;;;Índice de Gini;2020;32,3
Total Nacional;Cataluña;;;Índice de Gini;2019;32,3
Total Nacional;Cataluña;;;Índice de Gini;2018;32,7
Total Nacional;Cataluña;;;Índice de Gini;2017;33,2
Total Nacional;Cataluña;;;Índice de Gini;2016;34,1
Total Nacional;Cataluña;;;Índice de Gini;2015;34,4
Total Nacional;Cataluña;;;Distribución de la renta P80/P20;2023;2,7
Total Nacional;Cataluña;;;Distribución de la renta P80/P20;2022;2,7
Total Nacional;Cataluña;;;Distribución de la renta P80/P20;2021;2,8
Total Nacional;Cataluña;;;Distribución de la renta P80/P20;2020;2,9
Total Nacional;Cataluña;;;Distribución de la renta P80/P20;2019;2,7
Total Nacional;Cataluña;;;Distribución de la renta P80/P20;2018;2,7
Total Nacional;Cataluña;;;Distribución de la renta P80/P20;2017;2,9
Total Nacional;Cataluña;;;Distribución de la renta P80/P20;2016;3
Total Nacional;Cataluña;;;Distribución de la renta P80/P20;2015;2,9
Total Nacional;Cataluña;Barcelona;;Índice de Gini;2023;31,5
Total Nacional;Cataluña;Barcelona;;Índice de Gini;2022;31,8
Total Nacional;Cataluña;Barcelona;;Índice de Gini;2021;31,9
Total Nacional;Cataluña;Barcelona;;Índice de Gini;2020;32,3
Total Nacional;Cataluña;Barcelona;;Índice de Gini;2019;32,3
Total Nacional;Cataluña;Barcelona;;Índice de Gini;2018;32,7
Total Nacional;Cataluña;Barcelona;;Índice de Gini;2017;33,2
Total Nacional;Cataluña;Barcelona;;Índice de Gini;2016;34
Total Nacional;Cataluña;Barcelona;;Índice de Gini;2015;34,1
Total Nacional;Cataluña;Barcelona;;Distribución de la renta P80/P20;2023;2,6
Total Nacional;Cataluña;Barcelona;;Distribución de la renta P80/P20;2022;2,7
Total Nacional;Cataluña;Barcelona;;Distribución de la renta P80/P20;2021;2,7
Total Nacional;Cataluña;Barcelona;;Distribución de la renta P80/P20;2020;2,7
Total Nacional;Cataluña;Barcelona;;Distribución de la renta P80/P20;2019;2,7
Total Nacional;Cataluña;Barcelona;;Distribución de la renta P80/P20;2018;2,9
Total Nacional;Cataluña;Barcelona;;Distribución de la renta P80/P20;2017;2,7
Total Nacional;Cataluña;Barcelona;;Distribución de la renta P80/P20;2016;2,9
Total Nacional;Cataluña;Barcelona;;Distribución de la renta P80/P20;2015;2,9
Total Nacional;Cataluña;Girona;;Índice de Gini;2023;30,6
Total Nacional;Cataluña;Girona;;Índice de Gini;2022;31
Total Nacional;Cataluña;Girona;;Índice de Gini;2021;31,4
Total Nacional;Cataluña;Girona;;Índice de Gini;2020;32,1
Total Nacional;Cataluña;Girona;;Índice de Gini;2019;31,6
Total Nacional;Cataluña;Girona;;Índice de Gini;2018;32,1
Total Nacional;Cataluña;Girona;;Índice de Gini;2017;32,7
Total Nacional;Cataluña;Girona;;Índice de Gini;2016;33,9
Total Nacional;Cataluña;Girona;;Índice de Gini;2015;34,2
Total Nacional;Cataluña;Girona;;Distribución de la renta P80/P20;2023;2,6
Total Nacional;Cataluña;Girona;;Distribución de la renta P80/P20;2022;2,7
Total Nacional;Cataluña;Girona;;Distribución de la renta P80/P20;2021;2,7
Total Nacional;Cataluña;Girona;;Distribución de la renta P80/P20;2020;2,9
Total Nacional;Cataluña;Girona;;Distribución de la renta P80/P20;2019;2,8
Total Nacional;Cataluña;Girona;;Distribución de la renta P80/P20;2018;2,7
Total Nacional;Cataluña;Girona;;Distribución de la renta P80/P20;2017;2,8
Total Nacional;Cataluña;Girona;;Distribución de la renta P80/P20;2016;3
Total Nacional;Cataluña;Girona;;Distribución de la renta P80/P20;2015;2,9
Total Nacional;Cataluña;Lleida;;Índice de Gini;2023;30,3
Total Nacional;Cataluña;Lleida;;Índice de Gini;2022;30,8
Total Nacional;Cataluña;Lleida;;Índice de Gini;2021;30,7
Total Nacional;Cataluña;Lleida;;Índice de Gini;2020;31,1
Total Nacional;Cataluña;Lleida;;Índice de Gini;2019;31,2
Total Nacional;Cataluña;Lleida;;Índice de Gini;2018;31,7
Total Nacional;Cataluña;Lleida;;Índice de Gini;2017;32,4
Total Nacional;Cataluña;Lleida;;Índice de Gini;2016;33,7
Total Nacional;Cataluña;Lleida;;Índice de Gini;2015;34
Total Nacional;Cataluña;Lleida;;Distribución de la renta P80/P20;2023;2,6
Total Nacional;Cataluña;Lleida;;Distribución de la renta P80/P20;2022;2,6
Total Nacional;Cataluña;Lleida;;Distribución de la renta P80/P20;2021;2,7
Total Nacional;Cataluña;Lleida;;Distribución de la renta P80/P20;2020;2,7
Total Nacional;Cataluña;Lleida;;Distribución de la renta P80/P20;2019;2,8
Total Nacional;Cataluña;Lleida;;Distribución de la renta P80/P20;2018;2,7
Total Nacional;Cataluña;Lleida;;Distribución de la renta P80/P20;2017;2,8
Total Nacional;Cataluña;Lleida;;Distribución de la renta P80/P20;2016;2,9
Total Nacional;Cataluña;Lleida;;Distribución de la renta P80/P20;2015;2,9
Total Nacional;Cataluña;Tarragona;;Índice de Gini;2023;30,9
Total Nacional;Cataluña;Tarragona;;Índice de Gini;2022;31,2
Total Nacional;Cataluña;Tarragona;;Índice de Gini;2021;31,6
Total Nacional;Cataluña;Tarragona;;Índice de Gini;2020;32,1
Total Nacional;Cataluña;Tarragona;;Índice de Gini;2019;31,9
Total Nacional;Cataluña;Tarragona;;Índice de Gini;2018;32,6
Total Nacional;Cataluña;Tarragona;;Índice de Gini;2017;33,1
Total Nacional;Cataluña;Tarragona;;Índice de Gini;2016;34,5
Total Nacional;Cataluña;Tarragona;;Índice de Gini;2015;34,8
Total Nacional;Cataluña;Tarragona;;Distribución de la renta P80/P20;2023;2,7
Total Nacional;Cataluña;Tarragona;;Distribución de la renta P80/P20;2022;2,8
Total Nacional;Cataluña;Tarragona;;Distribución de la renta P80/P20;2021;2,7
Total Nacional;Cataluña;Tarragona;;Distribución de la renta P80/P20;2020;2,8
Total Nacional;Cataluña;Tarragona;;Distribución de la renta P80/P20;2019;2,8
Total Nacional;Cataluña;Tarragona;;Distribución de la renta P80/P20;2018;2,8
Total Nacional;Cataluña;Tarragona;;Distribución de la renta P80/P20;2017;2,8
Total Nacional;Cataluña;Tarragona;;Distribución de la renta P80/P20;2016;2,9
Total Nacional;Cataluña;Tarragona;;Distribución de la renta P80/P20;2015;3,2
Total Nacional;Comunitat Valenciana;;;Índice de Gini;2023;31,8
Total Nacional;Comunitat Valenciana;;;Índice de Gini;2022;31,9
Total Nacional;Comunitat Valenciana;;;Índice de Gini;2021;31,9
Total Nacional;Comunitat Valenciana;;;Índice de Gini;2020;32,6
Total Nacional;Comunitat Valenciana;;;Índice de Gini;2019;32,7
Total Nacional;Comunitat Valenciana;;;Índice de Gini;2018;33,5
Total Nacional;Comunitat Valenciana;;;Índice de Gini;2017;34,2
Total Nacional;Comunitat Valenciana;;;Índice de Gini;2016;35,4
Total Nacional;Comunitat Valenciana;;;Índice de Gini;2015;35,8
Total Nacional;Comunitat Valenciana;;;Distribución de la renta P80/P20;2023;2,7
Total Nacional;Comunitat Valenciana;;;Distribución de la renta P80/P20;2022;2,8
Total Nacional;Comunitat Valenciana;;;Distribución de la renta P80/P20;2021;2,6
Total Nacional;Comunitat Valenciana;;;Distribución de la renta P80/P20;2020;2,8
Total Nacional;Comunitat Valenciana;;;Distribución de la renta P80/P20;2019;2,7
Total Nacional;Comunitat Valenciana;;;Distribución de la renta P80/P20;2018;2,8
Total Nacional;Comunitat Valenciana;;;Distribución de la renta P80/P20;2017;3
Total Nacional;Comunitat Valenciana;;;Distribución de la renta P80/P20;2016;3,2
Total Nacional;Comunitat Valenciana;;;Distribución de la renta P80/P20;2015;3,1
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Índice de Gini;2023;32,6
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Índice de Gini;2022;32,8
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Índice de Gini;2021;32,8
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Índice de Gini;2020;33,6
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Índice de Gini;2019;33,7
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Índice de Gini;2018;34,5
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Índice de Gini;2017;35,1
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Índice de Gini;2016;36,6
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Índice de Gini;2015;36,8
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Distribución de la renta P80/P20;2023;2,8
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Distribución de la renta P80/P20;2022;2,8
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Distribución de la renta P80/P20;2021;2,8
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Distribución de la renta P80/P20;2020;2,9
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Distribución de la renta P80/P20;2019;2,9
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Distribución de la renta P80/P20;2018;2,8
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Distribución de la renta P80/P20;2017;3
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Distribución de la renta P80/P20;2016;3,2
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Distribución de la renta P80/P20;2015;3,1
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Índice de Gini;2023;30,2
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Índice de Gini;2022;30,1
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Índice de Gini;2021;30
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Índice de Gini;2020;30,6
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Índice de Gini;2019;30,8
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Índice de Gini;2018;31,4
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Índice de Gini;2017;32
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Índice de Gini;2016;33,4
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Índice de Gini;2015;34
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Distribución de la renta P80/P20;2023;2,6
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Distribución de la renta P80/P20;2021;2,5
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Distribución de la renta P80/P20;2020;2,6
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Distribución de la renta P80/P20;2019;2,6
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Distribución de la renta P80/P20;2018;2,7
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Distribución de la renta P80/P20;2017;2,5
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Distribución de la renta P80/P20;2016;2,9
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Distribución de la renta P80/P20;2015;2,9
Total Nacional;Comunitat Valenciana;Valencia/València;;Índice de Gini;2023;31,1
Total Nacional;Comunitat Valenciana;Valencia/València;;Índice de Gini;2022;31,3
Total Nacional;Comunitat Valenciana;Valencia/València;;Índice de Gini;2021;31,3
Total Nacional;Comunitat Valenciana;Valencia/València;;Índice de Gini;2020;31,9
Total Nacional;Comunitat Valenciana;Valencia/València;;Índice de Gini;2019;32,1
Total Nacional;Comunitat Valenciana;Valencia/València;;Índice de Gini;2018;32,9
Total Nacional;Comunitat Valenciana;Valencia/València;;Índice de Gini;2017;33,6
Total Nacional;Comunitat Valenciana;Valencia/València;;Índice de Gini;2016;34,8
Total Nacional;Comunitat Valenciana;Valencia/València;;Índice de Gini;2015;35,1
Total Nacional;Comunitat Valenciana;Valencia/València;;Distribución de la renta P80/P20;2023;2,7
Total Nacional;Comunitat Valenciana;Valencia/València;;Distribución de la renta P80/P20;2022;2,7
Total Nacional;Comunitat Valenciana;Valencia/València;;Distribución de la renta P80/P20;2021;2,6
Total Nacional;Comunitat Valenciana;Valencia/València;;Distribución de la renta P80/P20;2020;2,7
Total Nacional;Comunitat Valenciana;Valencia/València;;Distribución de la renta P80/P20;2019;2,6
Total Nacional;Comunitat Valenciana;Valencia/València;;Distribución de la renta P80/P20;2018;2,8
Total Nacional;Comunitat Valenciana;Valencia/València;;Distribución de la renta P80/P20;2017;2,8
Total Nacional;Comunitat Valenciana;Valencia/València;;Distribución de la renta P80/P20;2016;3
Total Nacional;Comunitat Valenciana;Valencia/València;;Distribución de la renta P80/P20;2015;3
Total Nacional;Extremadura;;;Índice de Gini;2023;29,3
Total Nacional;Extremadura;;;Índice de Gini;2022;29,8
Total Nacional;Extremadura;;;Índice de Gini;2021;30
Total Nacional;Extremadura;;;Índice de Gini;2020;31,1
Total Nacional;Extremadura;;;Índice de Gini;2019;30,9
Total Nacional;Extremadura;;;Índice de Gini;2018;31,8
