Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Andalucía;Huelva;;Distribución de la renta P80/P20;2018;2,7
Total Nacional;Andalucía;Huelva;;Distribución de la renta P80/P20;2017;2,5
Total Nacional;Andalucía;Huelva;;Distribución de la renta P80/P20;2016;2,8
Total Nacional;Andalucía;Huelva;;Distribución de la renta P80/P20;2015;3
Total Nacional;Andalucía;Jaén;;Índice de Gini;2023;29,5
Total Nacional;Andalucía;Jaén;;Índice de Gini;2022;30,1
Total Nacional;Andalucía;Jaén;;Índice de Gini;2021;29,7
Total Nacional;Andalucía;Jaén;;Índice de Gini;2020;31,1
Total Nacional;Andalucía;Jaén;;Índice de Gini;2019;30,5
Total Nacional;Andalucía;Jaén;;Índice de Gini;2018;31,3
Total Nacional;Andalucía;Jaén;;Índice de Gini;2017;31,7
Total Nacional;Andalucía;Jaén;;Índice de Gini;2016;32,8
Total Nacional;Andalucía;Jaén;;Índice de Gini;2015;33,2
Total Nacional;Andalucía;Jaén;;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Andalucía;Jaén;;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Andalucía;Jaén;;Distribución de la renta P80/P20;2021;2,4
Total Nacional;Andalucía;Jaén;;Distribución de la renta P80/P20;2020;2,6
Total Nacional;Andalucía;Jaén;;Distribución de la renta P80/P20;2019;2,5
Total Nacional;Andalucía;Jaén;;Distribución de la renta P80/P20;2018;2,6
Total Nacional;Andalucía;Jaén;;Distribución de la renta P80/P20;2017;2,5
Total Nacional;Andalucía;Jaén;;Distribución de la renta P80/P20;2016;2,8
Total Nacional;Andalucía;Jaén;;Distribución de la renta P80/P20;2015;2,6
Total Nacional;Andalucía;Málaga;;Índice de Gini;2023;32,7
Total Nacional;Andalucía;Málaga;;Índice de Gini;2022;33,3
Total Nacional;Andalucía;Málaga;;Índice de Gini;2021;33,5
Total Nacional;Andalucía;Málaga;;Índice de Gini;2020;34,2
Total Nacional;Andalucía;Málaga;;Índice de Gini;2019;33,8
Total Nacional;Andalucía;Málaga;;Índice de Gini;2018;34,6
Total Nacional;Andalucía;Málaga;;Índice de Gini;2017;35,4
Total Nacional;Andalucía;Málaga;;Índice de Gini;2016;36,8
Total Nacional;Andalucía;Málaga;;Índice de Gini;2015;37
Total Nacional;Andalucía;Málaga;;Distribución de la renta P80/P20;2023;2,8
Total Nacional;Andalucía;Málaga;;Distribución de la renta P80/P20;2022;2,8
Total Nacional;Andalucía;Málaga;;Distribución de la renta P80/P20;2021;2,9
Total Nacional;Andalucía;Málaga;;Distribución de la renta P80/P20;2020;3
Total Nacional;Andalucía;Málaga;;Distribución de la renta P80/P20;2019;2,7
Total Nacional;Andalucía;Málaga;;Distribución de la renta P80/P20;2018;2,9
Total Nacional;Andalucía;Málaga;;Distribución de la renta P80/P20;2017;3,1
Total Nacional;Andalucía;Málaga;;Distribución de la renta P80/P20;2016;3,4
Total Nacional;Andalucía;Málaga;;Distribución de la renta P80/P20;2015;3,2
Total Nacional;Andalucía;Sevilla;;Índice de Gini;2023;31,1
Total Nacional;Andalucía;Sevilla;;Índice de Gini;2022;32
Total Nacional;Andalucía;Sevilla;;Índice de Gini;2021;32,1
Total Nacional;Andalucía;Sevilla;;Índice de Gini;2020;33
Total Nacional;Andalucía;Sevilla;;Índice de Gini;2019;32,9
Total Nacional;Andalucía;Sevilla;;Índice de Gini;2018;33,9
Total Nacional;Andalucía;Sevilla;;Índice de Gini;2017;34,7
Total Nacional;Andalucía;Sevilla;;Índice de Gini;2016;35,7
Total Nacional;Andalucía;Sevilla;;Índice de Gini;2015;35,9
Total Nacional;Andalucía;Sevilla;;Distribución de la renta P80/P20;2023;2,6
Total Nacional;Andalucía;Sevilla;;Distribución de la renta P80/P20;2022;2,6
Total Nacional;Andalucía;Sevilla;;Distribución de la renta P80/P20;2021;2,7
Total Nacional;Andalucía;Sevilla;;Distribución de la renta P80/P20;2020;2,8
Total Nacional;Andalucía;Sevilla;;Distribución de la renta P80/P20;2019;2,8
Total Nacional;Andalucía;Sevilla;;Distribución de la renta P80/P20;2018;2,9
Total Nacional;Andalucía;Sevilla;;Distribución de la renta P80/P20;2017;2,8
Total Nacional;Andalucía;Sevilla;;Distribución de la renta P80/P20;2016;3
Total Nacional;Andalucía;Sevilla;;Distribución de la renta P80/P20;2015;3,4
Total Nacional;Aragón;;;Índice de Gini;2023;28,8
Total Nacional;Aragón;;;Índice de Gini;2022;29
Total Nacional;Aragón;;;Índice de Gini;2021;29,1
Total Nacional;Aragón;;;Índice de Gini;2020;29,7
Total Nacional;Aragón;;;Índice de Gini;2019;29,8
Total Nacional;Aragón;;;Índice de Gini;2018;30,2
Total Nacional;Aragón;;;Índice de Gini;2017;30,8
Total Nacional;Aragón;;;Índice de Gini;2016;32,2
Total Nacional;Aragón;;;Índice de Gini;2015;32
Total Nacional;Aragón;;;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Aragón;;;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Aragón;;;Distribución de la renta P80/P20;2021;2,4
Total Nacional;Aragón;;;Distribución de la renta P80/P20;2020;2,5
Total Nacional;Aragón;;;Distribución de la renta P80/P20;2019;2,4
Total Nacional;Aragón;;;Distribución de la renta P80/P20;2018;2,5
Total Nacional;Aragón;;;Distribución de la renta P80/P20;2017;2,6
Total Nacional;Aragón;;;Distribución de la renta P80/P20;2016;2,8
Total Nacional;Aragón;;;Distribución de la renta P80/P20;2015;2,8
Total Nacional;Aragón;Huesca;;Índice de Gini;2023;28,3
Total Nacional;Aragón;Huesca;;Índice de Gini;2022;28,6
Total Nacional;Aragón;Huesca;;Índice de Gini;2021;28,7
Total Nacional;Aragón;Huesca;;Índice de Gini;2020;29
Total Nacional;Aragón;Huesca;;Índice de Gini;2019;28,9
Total Nacional;Aragón;Huesca;;Índice de Gini;2018;29,4
Total Nacional;Aragón;Huesca;;Índice de Gini;2017;29,9
Total Nacional;Aragón;Huesca;;Índice de Gini;2016;30,8
Total Nacional;Aragón;Huesca;;Índice de Gini;2015;31,1
Total Nacional;Aragón;Huesca;;Distribución de la renta P80/P20;2023;2,4
Total Nacional;Aragón;Huesca;;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Aragón;Huesca;;Distribución de la renta P80/P20;2021;2,6
Total Nacional;Aragón;Huesca;;Distribución de la renta P80/P20;2020;2,4
Total Nacional;Aragón;Huesca;;Distribución de la renta P80/P20;2019;2,4
Total Nacional;Aragón;Huesca;;Distribución de la renta P80/P20;2018;2,5
Total Nacional;Aragón;Huesca;;Distribución de la renta P80/P20;2017;2,6
Total Nacional;Aragón;Huesca;;Distribución de la renta P80/P20;2016;2,7
Total Nacional;Aragón;Huesca;;Distribución de la renta P80/P20;2015;2,7
Total Nacional;Aragón;Teruel;;Índice de Gini;2023;28,4
Total Nacional;Aragón;Teruel;;Índice de Gini;2022;28,4
Total Nacional;Aragón;Teruel;;Índice de Gini;2021;28,2
Total Nacional;Aragón;Teruel;;Índice de Gini;2020;28,8
Total Nacional;Aragón;Teruel;;Índice de Gini;2019;28,9
Total Nacional;Aragón;Teruel;;Índice de Gini;2018;29,1
Total Nacional;Aragón;Teruel;;Índice de Gini;2017;30,1
Total Nacional;Aragón;Teruel;;Índice de Gini;2016;30,6
Total Nacional;Aragón;Teruel;;Índice de Gini;2015;31,3
Total Nacional;Aragón;Teruel;;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Aragón;Teruel;;Distribución de la renta P80/P20;2022;2,6
Total Nacional;Aragón;Teruel;;Distribución de la renta P80/P20;2021;2,4
Total Nacional;Aragón;Teruel;;Distribución de la renta P80/P20;2020;2,5
Total Nacional;Aragón;Teruel;;Distribución de la renta P80/P20;2019;2,5
Total Nacional;Aragón;Teruel;;Distribución de la renta P80/P20;2018;2,6
Total Nacional;Aragón;Teruel;;Distribución de la renta P80/P20;2017;2,7
Total Nacional;Aragón;Teruel;;Distribución de la renta P80/P20;2016;2,6
Total Nacional;Aragón;Teruel;;Distribución de la renta P80/P20;2015;2,6
Total Nacional;Aragón;Zaragoza;;Índice de Gini;2023;29
Total Nacional;Aragón;Zaragoza;;Índice de Gini;2022;29,2
Total Nacional;Aragón;Zaragoza;;Índice de Gini;2021;29,2
Total Nacional;Aragón;Zaragoza;;Índice de Gini;2020;29,9
Total Nacional;Aragón;Zaragoza;;Índice de Gini;2019;30,1
Total Nacional;Aragón;Zaragoza;;Índice de Gini;2018;30,5
Total Nacional;Aragón;Zaragoza;;Índice de Gini;2017;31
Total Nacional;Aragón;Zaragoza;;Índice de Gini;2016;32,6
Total Nacional;Aragón;Zaragoza;;Índice de Gini;2015;32,3
Total Nacional;Aragón;Zaragoza;;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Aragón;Zaragoza;;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Aragón;Zaragoza;;Distribución de la renta P80/P20;2021;2,4
Total Nacional;Aragón;Zaragoza;;Distribución de la renta P80/P20;2020;2,5
Total Nacional;Aragón;Zaragoza;;Distribución de la renta P80/P20;2019;2,5
Total Nacional;Aragón;Zaragoza;;Distribución de la renta P80/P20;2018;2,6
Total Nacional;Aragón;Zaragoza;;Distribución de la renta P80/P20;2017;2,7
Total Nacional;Aragón;Zaragoza;;Distribución de la renta P80/P20;2016;2,8
Total Nacional;Aragón;Zaragoza;;Distribución de la renta P80/P20;2015;2,8
Total Nacional;Asturias, Principado de;;;Índice de Gini;2023;29,4
Total Nacional;Asturias, Principado de;;;Índice de Gini;2022;29,4
Total Nacional;Asturias, Principado de;;;Índice de Gini;2021;29,6
Total Nacional;Asturias, Principado de;;;Índice de Gini;2020;30,3
Total Nacional;Asturias, Principado de;;;Índice de Gini;2019;30,4
Total Nacional;Asturias, Principado de;;;Índice de Gini;2018;30,9
Total Nacional;Asturias, Principado de;;;Índice de Gini;2017;31,3
Total Nacional;Asturias, Principado de;;;Índice de Gini;2016;31,8
Total Nacional;Asturias, Principado de;;;Índice de Gini;2015;32
Total Nacional;Asturias, Principado de;;;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Asturias, Principado de;;;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Asturias, Principado de;;;Distribución de la renta P80/P20;2021;2,6
Total Nacional;Asturias, Principado de;;;Distribución de la renta P80/P20;2020;2,7
Total Nacional;Asturias, Principado de;;;Distribución de la renta P80/P20;2019;2,7
Total Nacional;Asturias, Principado de;;;Distribución de la renta P80/P20;2018;2,5
Total Nacional;Asturias, Principado de;;;Distribución de la renta P80/P20;2017;2,6
Total Nacional;Asturias, Principado de;;;Distribución de la renta P80/P20;2016;2,8
Total Nacional;Asturias, Principado de;;;Distribución de la renta P80/P20;2015;2,8
Total Nacional;Asturias, Principado de;Asturias;;Índice de Gini;2023;29,4
Total Nacional;Asturias, Principado de;Asturias;;Índice de Gini;2022;29,4
Total Nacional;Asturias, Principado de;Asturias;;Índice de Gini;2021;29,6
Total Nacional;Asturias, Principado de;Asturias;;Índice de Gini;2020;30,3
Total Nacional;Asturias, Principado de;Asturias;;Índice de Gini;2019;30,4
Total Nacional;Asturias, Principado de;Asturias;;Índice de Gini;2018;30,9
Total Nacional;Asturias, Principado de;Asturias;;Índice de Gini;2017;31,3
Total Nacional;Asturias, Principado de;Asturias;;Índice de Gini;2016;31,8
Total Nacional;Asturias, Principado de;Asturias;;Índice de Gini;2015;32
Total Nacional;Asturias, Principado de;Asturias;;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Asturias, Principado de;Asturias;;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Asturias, Principado de;Asturias;;Distribución de la renta P80/P20;2021;2,6
Total Nacional;Asturias, Principado de;Asturias;;Distribución de la renta P80/P20;2020;2,7
Total Nacional;Asturias, Principado de;Asturias;;Distribución de la renta P80/P20;2019;2,7
Total Nacional;Asturias, Principado de;Asturias;;Distribución de la renta P80/P20;2018;2,5
Total Nacional;Asturias, Principado de;Asturias;;Distribución de la renta P80/P20;2017;2,6
Total Nacional;Asturias, Principado de;Asturias;;Distribución de la renta P80/P20;2016;2,8
Total Nacional;Asturias, Principado de;Asturias;;Distribución de la renta P80/P20;2015;2,8
Total Nacional;Balears, Illes;;;Índice de Gini;2023;30,6
Total Nacional;Balears, Illes;;;Índice de Gini;2022;31
Total Nacional;Balears, Illes;;;Índice de Gini;2021;31,7
Total Nacional;Balears, Illes;;;Índice de Gini;2020;32,8
Total Nacional;Balears, Illes;;;Índice de Gini;2019;31,4
Total Nacional;Balears, Illes;;;Índice de Gini;2018;31,9
Total Nacional;Balears, Illes;;;Índice de Gini;2017;32,3
Total Nacional;Balears, Illes;;;Índice de Gini;2016;33,7
Total Nacional;Balears, Illes;;;Índice de Gini;2015;34
Total Nacional;Balears, Illes;;;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Balears, Illes;;;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Balears, Illes;;;Distribución de la renta P80/P20;2021;2,6
Total Nacional;Balears, Illes;;;Distribución de la renta P80/P20;2020;2,8
Total Nacional;Balears, Illes;;;Distribución de la renta P80/P20;2019;2,6
Total Nacional;Balears, Illes;;;Distribución de la renta P80/P20;2018;2,6
Total Nacional;Balears, Illes;;;Distribución de la renta P80/P20;2017;2,7
Total Nacional;Balears, Illes;;;Distribución de la renta P80/P20;2016;2,8
Total Nacional;Balears, Illes;;;Distribución de la renta P80/P20;2015;2,9
Total Nacional;Balears, Illes;Balears, Illes;;Índice de Gini;2023;30,6
Total Nacional;Balears, Illes;Balears, Illes;;Índice de Gini;2022;31
Total Nacional;Balears, Illes;Balears, Illes;;Índice de Gini;2021;31,7
Total Nacional;Balears, Illes;Balears, Illes;;Índice de Gini;2020;32,8
Total Nacional;Balears, Illes;Balears, Illes;;Índice de Gini;2019;31,4
Total Nacional;Balears, Illes;Balears, Illes;;Índice de Gini;2018;31,9
Total Nacional;Balears, Illes;Balears, Illes;;Índice de Gini;2017;32,3
Total Nacional;Balears, Illes;Balears, Illes;;Índice de Gini;2016;33,7
Total Nacional;Balears, Illes;Balears, Illes;;Índice de Gini;2015;34
Total Nacional;Balears, Illes;Balears, Illes;;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Balears, Illes;Balears, Illes;;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Balears, Illes;Balears, Illes;;Distribución de la renta P80/P20;2021;2,6
Total Nacional;Balears, Illes;Balears, Illes;;Distribución de la renta P80/P20;2020;2,8
Total Nacional;Balears, Illes;Balears, Illes;;Distribución de la renta P80/P20;2019;2,6
